rd,OSR.2,OSR.1,OSR.5
0,-0.333333333,-0.332333333,-0.319333333
0.02,-0.269983996,-0.266791311,-0.230150929
0.04,-0.220967434,-0.216294006,-0.183869878
0.06,-0.183591184,-0.177700425,-0.165973135
0.08,-0.154100127,-0.151361824,-0.154563499
0.1,-0.130805681,-0.133420756,-0.144804806
0.12,-0.11354618,-0.118414678,-0.140193578
0.14,-0.101679188,-0.10814573,-0.13273157
0.16,-0.087940694,-0.103098913,-0.127607842
0.18,-0.081302527,-0.093819455,-0.114919855
0.2,-0.075157802,-0.090088378,-0.116517299
0.22,-0.066799511,-0.083853923,-0.112437463
0.24,-0.06141293,-0.080527497,-0.10756875
0.26,-0.056136229,-0.072734028,-0.099376877
0.28,-0.052585881,-0.077015841,-0.096391197
0.3,-0.05148599,-0.067052014,-0.087148046
0.32,-0.04733325,-0.070513336,-0.079456806
0.34,-0.043783684,-0.063479803,-0.077430068
0.36,-0.041765113,-0.063394171,-0.082385496
0.38,-0.040476059,-0.062681829,-0.07612791
0.4,-0.038042019,-0.053580979,-0.073193398
0.42,-0.037138455,-0.056595363,-0.062357916
0.44,-0.034824391,-0.06086059,-0.066022509
0.46,-0.031755836,-0.051669682,-0.066634572
0.48,-0.033090498,-0.053139157,-0.053701202