,rd,variable,value
1,0,OSR.2.h0,-0.0911
2,0.02,OSR.2.h0,-0.1096
3,0.04,OSR.2.h0,-0.1254
4,0.06,OSR.2.h0,-0.1365
5,0.08,OSR.2.h0,-0.1495
6,0.1,OSR.2.h0,-0.1573
7,0.12,OSR.2.h0,-0.1652
8,0.14,OSR.2.h0,-0.1694
9,0.16,OSR.2.h0,-0.1741
10,0.18,OSR.2.h0,-0.1778
11,0.2,OSR.2.h0,-0.1837
12,0.22,OSR.2.h0,-0.1895
13,0.24,OSR.2.h0,-0.1946
14,0.26,OSR.2.h0,-0.1964
15,0.28,OSR.2.h0,-0.1992
16,0.3,OSR.2.h0,-0.1988
17,0.32,OSR.2.h0,-0.2056
18,0.34,OSR.2.h0,-0.2048
19,0.36,OSR.2.h0,-0.2113
20,0.38,OSR.2.h0,-0.214
21,0.4,OSR.2.h0,-0.2152
22,0.42,OSR.2.h0,-0.22
23,0.44,OSR.2.h0,-0.2179
24,0.46,OSR.2.h0,-0.2209
25,0.48,OSR.2.h0,-0.224
26,0,OSR.1.h0,-0.097
27,0.02,OSR.1.h0,-0.124
28,0.04,OSR.1.h0,-0.143
29,0.06,OSR.1.h0,-0.163
30,0.08,OSR.1.h0,-0.169
31,0.1,OSR.1.h0,-0.183
32,0.12,OSR.1.h0,-0.2
33,0.14,OSR.1.h0,-0.207
34,0.16,OSR.1.h0,-0.212
35,0.18,OSR.1.h0,-0.228
36,0.2,OSR.1.h0,-0.228
37,0.22,OSR.1.h0,-0.237
38,0.24,OSR.1.h0,-0.241
39,0.26,OSR.1.h0,-0.243
40,0.28,OSR.1.h0,-0.243
41,0.3,OSR.1.h0,-0.251
42,0.32,OSR.1.h0,-0.256
43,0.34,OSR.1.h0,-0.262
44,0.36,OSR.1.h0,-0.26
45,0.38,OSR.1.h0,-0.264
46,0.4,OSR.1.h0,-0.267
47,0.42,OSR.1.h0,-0.264
48,0.44,OSR.1.h0,-0.271
49,0.46,OSR.1.h0,-0.267
50,0.48,OSR.1.h0,-0.272
51,0,OSR.05.h0,-0.139
52,0.02,OSR.05.h0,-0.243
53,0.04,OSR.05.h0,-0.266
54,0.06,OSR.05.h0,-0.282
55,0.08,OSR.05.h0,-0.279
56,0.1,OSR.05.h0,-0.284
57,0.12,OSR.05.h0,-0.29
58,0.14,OSR.05.h0,-0.289
59,0.16,OSR.05.h0,-0.292
60,0.18,OSR.05.h0,-0.293
61,0.2,OSR.05.h0,-0.288
62,0.22,OSR.05.h0,-0.287
63,0.24,OSR.05.h0,-0.291
64,0.26,OSR.05.h0,-0.294
65,0.28,OSR.05.h0,-0.285
66,0.3,OSR.05.h0,-0.285
67,0.32,OSR.05.h0,-0.282
68,0.34,OSR.05.h0,-0.277
69,0.36,OSR.05.h0,-0.286
70,0.38,OSR.05.h0,-0.283
71,0.4,OSR.05.h0,-0.285
72,0.42,OSR.05.h0,-0.275
73,0.44,OSR.05.h0,-0.28
74,0.46,OSR.05.h0,-0.28
75,0.48,OSR.05.h0,-0.28
76,0,OSR.2.h.05,0.3333
77,0.02,OSR.2.h.05,0.2741
78,0.04,OSR.2.h.05,0.2286
79,0.06,OSR.2.h.05,0.1906
80,0.08,OSR.2.h.05,0.1614
81,0.1,OSR.2.h.05,0.1408
82,0.12,OSR.2.h.05,0.1222
83,0.14,OSR.2.h.05,0.1073
84,0.16,OSR.2.h.05,0.0932
85,0.18,OSR.2.h.05,0.0874
86,0.2,OSR.2.h.05,0.0784
87,0.22,OSR.2.h.05,0.0736
88,0.24,OSR.2.h.05,0.0678
89,0.26,OSR.2.h.05,0.0601
90,0.28,OSR.2.h.05,0.0565
91,0.3,OSR.2.h.05,0.052
92,0.32,OSR.2.h.05,0.0471
93,0.34,OSR.2.h.05,0.0468
94,0.36,OSR.2.h.05,0.046
95,0.38,OSR.2.h.05,0.0424
96,0.4,OSR.2.h.05,0.037
97,0.42,OSR.2.h.05,0.0395
98,0.44,OSR.2.h.05,0.0337
99,0.46,OSR.2.h.05,0.0357
100,0.48,OSR.2.h.05,0.0297
101,0,OSR.1.h.05,0.333
102,0.02,OSR.1.h.05,0.27
103,0.04,OSR.1.h.05,0.223
104,0.06,OSR.1.h.05,0.18
105,0.08,OSR.1.h.05,0.147
106,0.1,OSR.1.h.05,0.116
107,0.12,OSR.1.h.05,0.097
108,0.14,OSR.1.h.05,0.077
109,0.16,OSR.1.h.05,0.056
110,0.18,OSR.1.h.05,0.055
111,0.2,OSR.1.h.05,0.042
112,0.22,OSR.1.h.05,0.031
113,0.24,OSR.1.h.05,0.02
114,0.26,OSR.1.h.05,0.012
115,0.28,OSR.1.h.05,0.015
116,0.3,OSR.1.h.05,0.006
117,0.32,OSR.1.h.05,-0.003
118,0.34,OSR.1.h.05,-0.002
119,0.36,OSR.1.h.05,-0.002
120,0.38,OSR.1.h.05,-0.006
121,0.4,OSR.1.h.05,-0.004
122,0.42,OSR.1.h.05,-0.006
123,0.44,OSR.1.h.05,-0.011
124,0.46,OSR.1.h.05,-0.011
125,0.48,OSR.1.h.05,-0.01
126,0,OSR.05.h.05,0.322
127,0.02,OSR.05.h.05,0.239
128,0.04,OSR.05.h.05,0.154
129,0.06,OSR.05.h.05,0.087
130,0.08,OSR.05.h.05,0.021
131,0.1,OSR.05.h.05,-0.006
132,0.12,OSR.05.h.05,-0.024
133,0.14,OSR.05.h.05,-0.045
134,0.16,OSR.05.h.05,-0.069
135,0.18,OSR.05.h.05,-0.07
136,0.2,OSR.05.h.05,-0.078
137,0.22,OSR.05.h.05,-0.083
138,0.24,OSR.05.h.05,-0.085
139,0.26,OSR.05.h.05,-0.081
140,0.28,OSR.05.h.05,-0.083
141,0.3,OSR.05.h.05,-0.071
142,0.32,OSR.05.h.05,-0.075
143,0.34,OSR.05.h.05,-0.064
144,0.36,OSR.05.h.05,-0.069
145,0.38,OSR.05.h.05,-0.067
146,0.4,OSR.05.h.05,-0.059
147,0.42,OSR.05.h.05,-0.064
148,0.44,OSR.05.h.05,-0.052
149,0.46,OSR.05.h.05,-0.053
150,0.48,OSR.05.h.05,-0.063
151,0,OSR.2.h1,0.3333
152,0.02,OSR.2.h1,0.3325
153,0.04,OSR.2.h1,0.3305
154,0.06,OSR.2.h1,0.3269
155,0.08,OSR.2.h1,0.3222
156,0.1,OSR.2.h1,0.3166
157,0.12,OSR.2.h1,0.3103
158,0.14,OSR.2.h1,0.3025
159,0.16,OSR.2.h1,0.2961
160,0.18,OSR.2.h1,0.2901
161,0.2,OSR.2.h1,0.2855
162,0.22,OSR.2.h1,0.2795
163,0.24,OSR.2.h1,0.2761
164,0.26,OSR.2.h1,0.2712
165,0.28,OSR.2.h1,0.2687
166,0.3,OSR.2.h1,0.2636
167,0.32,OSR.2.h1,0.2622
168,0.34,OSR.2.h1,0.2599
169,0.36,OSR.2.h1,0.2586
170,0.38,OSR.2.h1,0.256
171,0.4,OSR.2.h1,0.2553
172,0.42,OSR.2.h1,0.2537
173,0.44,OSR.2.h1,0.2534
174,0.46,OSR.2.h1,0.2523
175,0.48,OSR.2.h1,0.2501
176,0,OSR.1.h1,0.332
177,0.02,OSR.1.h1,0.33
178,0.04,OSR.1.h1,0.329
179,0.06,OSR.1.h1,0.324
180,0.08,OSR.1.h1,0.321
181,0.1,OSR.1.h1,0.314
182,0.12,OSR.1.h1,0.307
183,0.14,OSR.1.h1,0.292
184,0.16,OSR.1.h1,0.282
185,0.18,OSR.1.h1,0.28
186,0.2,OSR.1.h1,0.268
187,0.22,OSR.1.h1,0.261
188,0.24,OSR.1.h1,0.249
189,0.26,OSR.1.h1,0.243
190,0.28,OSR.1.h1,0.23
191,0.3,OSR.1.h1,0.229
192,0.32,OSR.1.h1,0.225
193,0.34,OSR.1.h1,0.22
194,0.36,OSR.1.h1,0.221
195,0.38,OSR.1.h1,0.219
196,0.4,OSR.1.h1,0.214
197,0.42,OSR.1.h1,0.2171
198,0.44,OSR.1.h1,0.207
199,0.46,OSR.1.h1,0.216
200,0.48,OSR.1.h1,0.212
201,0,OSR.05.h1,0.326
202,0.02,OSR.05.h1,0.322
203,0.04,OSR.05.h1,0.32
204,0.06,OSR.05.h1,0.313
205,0.08,OSR.05.h1,0.294
206,0.1,OSR.05.h1,0.271
207,0.12,OSR.05.h1,0.245
208,0.14,OSR.05.h1,0.22
209,0.16,OSR.05.h1,0.191
210,0.18,OSR.05.h1,0.17
211,0.2,OSR.05.h1,0.157
212,0.22,OSR.05.h1,0.149
213,0.24,OSR.05.h1,0.139
214,0.26,OSR.05.h1,0.129
215,0.28,OSR.05.h1,0.124
216,0.3,OSR.05.h1,0.125
217,0.32,OSR.05.h1,0.118
218,0.34,OSR.05.h1,0.121
219,0.36,OSR.05.h1,0.113
220,0.38,OSR.05.h1,0.116
221,0.4,OSR.05.h1,0.123
222,0.42,OSR.05.h1,0.128
223,0.44,OSR.05.h1,0.135
224,0.46,OSR.05.h1,0.133
225,0.48,OSR.05.h1,0.151