rd,h0,h0.5,h1
0,-0.139,0.322,0.326
0.02,-0.243,0.239,0.322
0.04,-0.266,0.154,0.32
0.06,-0.282,0.087,0.313
0.08,-0.279,0.021,0.294
0.1,-0.284,-0.006,0.271
0.12,-0.29,-0.024,0.245
0.14,-0.289,-0.045,0.22
0.16,-0.292,-0.069,0.191
0.18,-0.293,-0.07,0.17
0.2,-0.288,-0.078,0.157
0.22,-0.287,-0.083,0.149
0.24,-0.291,-0.085,0.139
0.26,-0.294,-0.081,0.129
0.28,-0.285,-0.083,0.124
0.3,-0.285,-0.071,0.125
0.32,-0.282,-0.075,0.118
0.34,-0.277,-0.064,0.121
0.36,-0.286,-0.069,0.113
0.38,-0.283,-0.067,0.116
0.4,-0.285,-0.059,0.123
0.42,-0.275,-0.064,0.128
0.44,-0.28,-0.052,0.135
0.46,-0.28,-0.053,0.133
0.48,-0.28,-0.063,0.151